City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
78,Tabou,4.423,-7.3528,84.42,74,93,10.51,overcast clouds,CI
79,Coquimbo,-29.9533,-71.3436,64.45,71,3,7.9,clear sky,CL
80,Sambava,-14.2667,50.1667,78.22,86,58,14.14,broken clouds,MG
81,Anloga,5.7947,0.8973,83.79,79,99,15.39,overcast clouds,GH
82,Torbat-E Jam,35.244,60.6225,75.92,15,95,6.02,overcast clouds,IR
83,Mahebourg,-20.4081,57.7,79.09,83,40,6.91,scattered clouds,MU
84,Sehithwa,-20.4667,22.7167,73.02,60,59,9.37,broken clouds,BW
85,Portobelo,9.55,-79.65,82.74,90,99,14.92,overcast clouds,PA
86,Saint-Philippe,-21.3585,55.7679,78.39,84,42,11.1,scattered clouds,RE
87,Tucuman,-26.8241,-65.2226,77.0,69,75,2.3,broken clouds,AR
88,Inirida,3.8653,-67.9239,86.07,75,90,2.59,overcast clouds,CO
89,Codrington,-38.2667,141.9667,62.58,76,34,11.61,scattered clouds,AU
90,Gostyn,51.8825,17.0123,48.07,64,100,12.88,overcast clouds,PL
91,Chuy,-33.6971,-53.4616,76.73,54,10,7.16,clear sky,UY
92,Kumluca,36.3703,30.2869,64.0,73,79,1.92,broken clouds,TR
93,Marfino,55.7028,37.3822,48.45,61,75,6.71,broken clouds,RU
94,Cidreira,-30.1811,-50.2056,72.5,79,74,9.37,broken clouds,BR
95,Skala Fourkas,39.9998,23.3841,59.79,77,0,8.14,clear sky,GR
96,Nanortalik,60.1432,-45.2371,32.16,73,10,2.39,clear sky,GL
97,Yazman,29.1212,71.7446,93.31,9,0,11.41,clear sky,PK
98,Punta Arenas,-53.15,-70.9167,48.31,76,40,8.05,scattered clouds,CL
99,Pemba,-12.974,40.5178,83.1,78,20,9.22,few clouds,MZ
100,Souillac,-20.5167,57.5167,79.18,83,40,6.91,scattered clouds,MU
101,Mykhaylivka,47.2724,35.2224,54.34,69,93,12.41,overcast clouds,UA
102,Luanda,-8.8368,13.2343,82.4,78,20,11.5,few clouds,AO
103,Marsa Matruh,31.3525,27.2453,64.6,68,0,11.5,clear sky,EG
104,Agucadoura,41.4318,-8.7804,67.32,84,86,8.08,overcast clouds,PT
105,Bereda,43.2686,-7.5406,67.14,36,84,3.33,broken clouds,ES
106,Brindisi,40.5833,17.6667,64.44,56,56,11.61,broken clouds,IT
107,Maragogi,-9.0122,-35.2225,82.74,78,87,11.14,overcast clouds,BR
108,Ginda,30.6945,78.4932,60.69,31,37,8.86,scattered clouds,IN
109,Plyussa,58.4308,29.3654,36.16,89,100,4.99,overcast clouds,RU
110,Balasesti,46.1,27.6667,63.05,52,89,13.89,overcast clouds,RO
111,Novaya Ladoga,60.1025,32.3019,37.92,86,99,12.03,overcast clouds,RU
112,Camacha,33.0833,-16.3333,62.02,59,40,11.5,scattered clouds,PT
113,Martigny,46.0833,7.0833,46.67,86,93,6.55,overcast clouds,CH
114,Kemijarvi,66.7131,27.4306,33.04,89,100,11.45,overcast clouds,FI
115,Havoysund,70.9963,24.6622,37.63,97,100,31.34,overcast clouds,NO
116,Nyanza,-2.3519,29.7509,59.43,89,84,1.9,light rain,RW
117,East London,-33.0153,27.9116,61.74,100,100,8.05,light rain,ZA
118,Havre-Saint-Pierre,50.2334,-63.5986,35.96,93,100,5.75,overcast clouds,CA
119,Ayagoz,47.9714,80.4392,39.15,54,100,15.1,overcast clouds,KZ
120,Longyearbyen,78.2186,15.6401,24.64,63,20,13.8,few clouds,SJ
121,Correntina,-13.3433,-44.6367,96.42,18,4,5.41,clear sky,BR
122,Faya,18.3851,42.4509,69.91,46,0,5.21,clear sky,SA
123,Iqaluit,63.7506,-68.5145,19.13,92,100,0.0,light snow,CA
124,Bakchar,57.0186,82.0711,20.95,93,50,5.23,scattered clouds,RU
125,Mercedes,-34.6515,-59.4307,80.04,33,0,7.72,clear sky,AR
126,Ustye,59.6304,39.736,34.83,91,99,6.33,overcast clouds,RU
127,Kralendijk,12.15,-68.2667,87.78,62,75,18.41,broken clouds,BQ
128,Bonthe,7.5264,-12.505,85.35,67,99,11.61,overcast clouds,SL
129,Guatire,10.4762,-66.5427,92.7,47,87,6.49,overcast clouds,VE
130,Dingle,10.9995,122.6711,75.34,88,100,2.89,light rain,PH
131,Bertoua,4.5833,13.6833,82.53,48,86,4.07,overcast clouds,CM
132,Bilma,18.6853,12.9164,97.16,5,0,4.68,clear sky,NE
133,Aksu,41.1231,80.2644,71.06,21,100,7.99,overcast clouds,CN
134,Westport,41.1415,-73.3579,56.89,83,100,9.22,light rain,US
135,Vitre,48.1178,-1.2058,52.68,64,52,8.84,broken clouds,FR
136,Abu Samrah,35.3029,37.1841,63.91,61,0,7.9,clear sky,SY
137,Honningsvag,70.9821,25.9704,37.15,87,100,19.57,overcast clouds,NO
138,Adrar,20.5022,-10.0711,96.03,5,0,7.14,clear sky,MR
139,Winneba,5.3511,-0.6231,84.51,75,39,15.46,scattered clouds,GH
140,Suleja,9.1758,7.1808,88.79,39,88,11.45,light rain,NG
141,Matadi,-5.8167,13.45,79.61,85,68,6.71,moderate rain,CD
142,Chapais,49.7834,-74.8492,35.38,95,100,7.07,overcast clouds,CA
143,Sechura,-5.5569,-80.8222,76.3,66,100,9.24,overcast clouds,PE
144,Alfatar,43.95,27.2833,69.62,57,8,5.99,clear sky,BG
145,Zheleznodorozhnyy,55.7503,38.0042,48.72,90,100,10.16,overcast clouds,RU
146,Bulawayo,-20.15,28.5833,58.6,90,100,11.21,overcast clouds,ZW
147,Chilca,-12.5211,-76.7372,71.1,78,99,8.08,overcast clouds,PE
148,Gat,31.61,34.7642,71.4,100,0,10.49,clear sky,IL
149,Sangueya,10.7,-14.3667,89.71,44,16,13.47,few clouds,GN
150,Kutum,14.2,24.6667,85.53,9,28,7.2,scattered clouds,SD
151,Guanica,17.9716,-66.908,85.12,71,74,18.07,broken clouds,PR
152,Vestmannaeyjar,63.4427,-20.2734,38.39,75,40,25.32,scattered clouds,IS
153,Jaguariaiva,-24.2511,-49.7058,79.9,57,85,7.29,overcast clouds,BR
154,Santiago,-33.4569,-70.6483,74.28,45,0,6.91,clear sky,CL
155,Sinnamary,5.3833,-52.95,80.55,82,81,12.93,broken clouds,GF
156,Vila Franca Do Campo,37.7167,-25.4333,57.61,76,65,21.32,broken clouds,PT
157,Methana,37.5823,23.3914,63.79,61,7,3.09,clear sky,GR
158,Saldanha,-33.0117,17.9442,82.45,60,0,15.7,clear sky,ZA
159,Borovskoy,53.8,64.15,45.7,78,99,7.65,overcast clouds,KZ
160,Ilulissat,69.2167,-51.1,12.22,67,75,5.75,broken clouds,GL
161,San Carlos De Bariloche,-41.1456,-71.3082,51.55,71,75,27.63,broken clouds,AR
162,Tefe,-3.3542,-64.7114,89.71,70,40,6.91,scattered clouds,BR
163,Valparaiso,-33.0393,-71.6273,65.84,59,0,6.91,clear sky,CL
164,Ostersund,63.1792,14.6357,33.62,80,75,6.91,broken clouds,SE
165,Kalmar,56.6616,16.3616,46.33,51,40,20.71,scattered clouds,SE
166,Pangody,65.85,74.4859,0.79,93,91,5.77,overcast clouds,RU
167,Nouadhibou,20.931,-17.0347,69.78,73,0,20.71,clear sky,MR
168,Bluefields,12.0137,-83.7635,86.07,74,40,9.22,scattered clouds,NI
169,Grand Gaube,-20.0064,57.6608,79.2,84,4,3.0,clear sky,MU
170,Suzun,53.7841,82.3116,30.43,83,27,5.03,scattered clouds,RU
171,Megion,61.0296,76.1136,14.02,97,59,5.21,broken clouds,RU
172,Batsfjord,70.6345,29.7185,33.58,100,100,28.77,overcast clouds,NO
173,Bathsheba,13.2167,-59.5167,86.61,62,75,24.16,broken clouds,BB
174,Staraya Poltavka,50.4772,46.4814,52.7,87,99,1.01,overcast clouds,RU
175,London,51.5085,-0.1257,54.12,42,94,9.22,overcast clouds,GB
